38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2007,,,2007,,,2007,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,18.68,-,-,29.87,-,-,26.65
SUMATERA UTARA,-,-,14.21,-,-,13.63,-,-,13.9
SUMATERA BARAT,-,-,9.78,-,-,13.01,-,-,11.9
RIAU,-,-,9.53,-,-,12.9,-,-,11.2
JAMBI,-,-,15.42,-,-,7.81,-,-,10.27
SUMATERA SELATAN,-,-,20.3,-,-,18.43,-,-,19.15
BENGKULU,-,-,23,-,-,21.66,-,-,22.13
LAMPUNG,-,-,18.11,-,-,23.7,-,-,22.19
KEP. BANGKA BELITUNG,-,-,8.09,-,-,10.87,-,-,9.54
KEP. RIAU,-,-,10.08,-,-,10.54,-,-,10.3
DKI JAKARTA,-,-,4.61,-,-,-,-,-,4.61
JAWA BARAT,-,-,11.21,-,-,16.88,-,-,13.55
JAWA TENGAH,-,-,17.23,-,-,23.45,-,-,20.43
DI YOGYAKARTA,-,-,15.63,-,-,25.03,-,-,18.99
JAWA TIMUR,-,-,14.71,-,-,25.02,-,-,19.98
BANTEN,-,-,6.79,-,-,12.52,-,-,9.07
BALI,-,-,6.01,-,-,7.47,-,-,6.63
NUSA TENGGARA BARAT,-,-,30.44,-,-,21.06,-,-,24.99
NUSA TENGGARA TIMUR,-,-,16.41,-,-,29.95,-,-,27.51
KALIMANTAN BARAT,-,-,11.45,-,-,13.47,-,-,12.91
KALIMANTAN TENGAH,-,-,6.72,-,-,10.76,-,-,9.38
KALIMANTAN SELATAN,-,-,6.01,-,-,7.72,-,-,7.01
KALIMANTAN TIMUR,-,-,7.44,-,-,16.98,-,-,11.04
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,8.31,-,-,13.8,-,-,11.42
SULAWESI TENGAH,-,-,12.86,-,-,24.97,-,-,22.42
SULAWESI SELATAN,-,-,6.18,-,-,17.87,-,-,14.11
SULAWESI TENGGARA,-,-,6.24,-,-,25.84,-,-,21.33
GORONTALO,-,-,11.08,-,-,34.76,-,-,27.35
SULAWESI BARAT,-,-,16.53,-,-,20.29,-,-,19.03
MALUKU,-,-,14.49,-,-,37.02,-,-,31.14
MALUKU UTARA,-,-,4.29,-,-,15.22,-,-,11.97
PAPUA BARAT,-,-,7.14,-,-,48.82,-,-,39.31
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,7.97,-,-,50.47,-,-,40.78
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,-,-,12.52,-,-,20.37,-,-,16.58